Text,Emotion
i asked feeling utterly useless,sadness
i feel horrible i know this is a bad situation but please dont judge me i really feel bad and the age of consent is in texas so our relationship is legal,sadness
i feel when i am thrilled with my hair i have an extra bounce in my step and i don t worry about my outfit and make up as much,joy
i feel confident that it wasn t my company that was bothering him,joy
im feeling a little tender and mashed today and im doing my best,love
i found myself feeling a bit shamed defensive and excluded,sadness
i love if i feel a cold coming on,anger
i am feeling so helpless ma i am being unable to fight your illness i am being unable to take you out from that pain i feel helpless today,sadness
i trust heavily when i feel that the trust is worthwhile,joy
i anticipated feeling ecstatic jubilant over the moon wired giddy,joy
i can feel all supportive and jrock ish in school tommorrow,love
i guess it s all about trying to internalize the serenity prayer without also feeling walked over and abused,sadness
i wrote feel there rather than think or believe because i know objectively that i am smart probably smarter than most people but most of the time im more conscious of what i dont know than what i do know,joy
i spent a lot of time feeling overwhelmed with the amount of information he provided while reading the textbook,fear
i feel like the world is just being bitter and cold but its degrees out sunny and bold something went a rye before early tea time and i cant figure it out yet,anger
i see people who have accomplished so much more than me and i feel envious and incompetent,anger
i have i feel pathetic for lying if i say no,sadness
i started to see a concerning pattern i d rush home at the end of the evening s activities to write out a post sometimes i d be feeling frustrated and flustered while sometimes i was eager and inspired,anger
i had been feeling fabulous and full of energy but easter weekend wiped me out and i havent been able to recover,joy
i feel im supposed to hate dams amp all the control of nature that they represent but sometimes they really are the most elegant amp awe inspiring structures,joy
i do feel productive anyway,joy
i would come home and pour a glass of wine sulk in my feelings until the sweet rest of intoxication took over and sleep pulls me into her bosom,love
i didn t feel useless anymore,sadness
i did not feel very much convinced of likelihood of dennis weaver to be using cocaine,joy
i feel funny things happening to my face and all over my body,surprise
i also feel that it should be pence as i am sure readers will not mind paying that,joy
i guess i feel betrayed because i admired him so much and for someone to do this to his wife and kids just goes beyond the pale,joy
ill find you everyday if you feel not annoyed,anger
i just feel its more romantic when these characters do not jump on each other on the first opportunity they get,love
i feel practically virtuous this month i have not exceeded my target of only buying things,joy
